Year,ID,City,Internet Penetration Rate,Internet-Related Output,Internet Users,Internet-Related Employees,Digital Inclusive Finance Index,Digital Economy Index,Population,GDP,Urbanization Rate,City Size,City Development Level,Industry Agglomeration Level,Environmental Pollution Index,Low-Carbon City,Carbon Peak City,AI-Pilot City,AI Technology Level,Smart City,Intelligent Construction City,AI Enterprises,AI Infrastructure Index,Intelligent Manufacturing Proportion,AI Patents,Total Energy Consumption,AI Development Index
2000,25,包头市,0.15115496,0.0,9.2171621,0.0,9.67,-760.910896,204.35,277.05,0.7968,4,4,0.001467517,0.285,0,0,0,0.0,0,0,2,0.029885729,0.081195285,8,41592.91464,0.044652077
2001,25,包头市,1.1147167,343.05879,16.234963,0.0,5.81,-417.8351341,206.16,310.019,0.7968,4,4,0.001383967,0.285,0,0,0,0.0,0,0,6,0.030427013,0.52693961,4,40376.68195,0.046891963
2002,25,包头市,2.3805884,465.84463,23.252764,0.0,9.47,-294.8653741,208.02,361.4821,0.7968,4,4,0.001297537,0.285,0,0,0,0.0,0,0,9,0.030968298,0.519139368,7,45389.81391,0.047066141
2003,25,包头市,3.3602234,652.18998,28.543233,0.00456491,9.6,-108.4513512,238.13,430.8866,0.6033,4,4,0.001262244,0.196,0,0,0,0.0,0,0,12,0.031509582,0.384619457,3,57213.35029,0.046511212
2004,25,包头市,4.7786339,1055.7458,39.811644,0.00633276,8.35,295.2409895,210.24,522.6655,0.6303,4,4,0.00125108,0.235,0,0,0,1.3862944,0,0,14,0.032050866,0.625296993,5,69333.92138,0.053417016
2005,25,包头市,5.6373017,1279.0417,48.87254,0.00643087,12.97,518.7203618,209.32,633.9932,0.6806,4,4,0.001231994,0.195,0,0,0,1.3862944,0,0,15,0.03259215,0.475930689,6,83050.15739,0.052862212
2006,25,包头市,6.962949,1565.6937,66.616449,0.01287811,8.85,805.8417978,212.41,748.746,0.731,4,4,0.001202463,0.208,0,0,0,1.3862944,0,0,19,0.02502017,0.598233263,7,89724.55424,0.051561475
2007,25,包头市,7.8608574,2047.1528,78.914259,0.01824263,10.58,1287.414545,214.6,884.269,0.747,4,4,0.001184457,0.191,0,0,0,0.69314718,0,0,23,0.031093916,0.49231776,18,101192.6018,0.050041364
2008,25,包头市,8.0179096,2492.2116,80.873439,0.0185129,8.52,1732.215979,217.76,1033.71,0.759,4,4,0.001186618,0.244,0,0,0,0.46209812,0,0,24,0.034502216,0.319790869,17,107711.1649,0.049146315
2009,25,包头市,9.1069265,3145.8764,101.83524,0.018226,10.25,2386.196265,219.59,1183.599,0.779,4,4,0.001185537,0.167,0,0,0,0.23104906,0,0,30,0.040951524,0.312801575,17,122267.8768,0.049876918
2010,25,包头市,10.19909,3341.1692,121.12375,0.0187174,15.54,2582.083887,219.8,1338.65,0.7949,4,4,0.001173653,0.205,0,0,0,0.0,0,0,38,0.044867109,0.307615441,36,125385.9608,0.050310059
2011,25,包头市,10.339585,1436.7403,132.44364,0.01683066,12.36,679.5109585,221.8,1534.093,0.805,4,4,0.00139081,0.11,0,0,0,1.0986123,0,0,47,0.035626585,0.267940517,35,132953.4106,0.052214927
2012,25,包头市,10.290828,1227.3423,160.3132,0.01395939,27.79,471.3285311,223.5,1678.297,0.8136,4,4,0.001418899,0.086,0,0,0,2.4849066,0,0,53,0.034588262,0.250541861,40,143042.2704,0.057558009
2013,25,包头市,17.777778,1194.9867,174.20444,0.01716937,23.18,439.5786071,225.0,1815.918,0.8201,4,4,0.001552146,0.111,0,0,0,2.1972246,0,0,67,0.038952164,0.328927356,61,122013.0545,0.058357875
2014,25,包头市,18.775145,1241.6629,185.51632,0.01033462,50.19,486.6569568,223.7,1963.007,0.8234,4,4,0.001470877,0.208,0,0,0,2.8332133,0,0,93,0.038155665,0.236488675,108,124182.7895,0.061259039
2015,25,包头市,16.528187,1166.7381,138.47941,0.01210777,40.09,409.9843727,223.86,2116.122,0.8265,4,4,0.001448505,0.123,0,0,0,3.1354942,0,0,127,0.033698848,0.296913868,97,119452.0584,0.061681291
2016,25,包头市,20.982143,1221.6786,154.46429,0.0116239,58.19,465.5231474,224.0,2272.715,0.8297,4,4,0.001399438,0.14,0,0,1,3.8501476,0,0,163,0.041646414,0.332709844,106,117308.6357,0.067167332
2017,25,包头市,25.892857,1185.7188,178.57143,0.01180941,44.38,430.5416003,224.0,2393.169,0.8328,4,4,0.001295423,0.204,0,0,1,3.8286414,0,0,204,0.039649385,0.468538646,120,108104.2322,0.067761738
2018,25,包头市,30.803571,1039.8571,180.35714,0.01181286,65.06,284.8919773,224.0,2553.511,0.8357,4,4,0.001249316,0.197,0,0,1,4.3438054,0,0,255,0.036883519,0.590533163,237,103083.3501,0.072090142
2019,25,包头市,32.888889,983.56,163.11111,0.0142154,50.77,227.996404,225.0,2706.722,0.839,4,4,0.001227665,0.22,0,0,1,4.7621739,0,0,320,0.036015182,0.489075482,212,114074.0603,0.073101673
2020,25,包头市,36.852196,1773.3648,100.42609,0.01661793,67.49,1014.856123,224.5,2787.923,0.8615,4,4,0.005644267,0.285,0,0,1,5.0172798,0,0,405,0.037057877,0.601633514,397,107325.2053,0.078730313
2021,25,包头市,0.89285714,2563.1696,37.741071,0.01902046,68.65,1801.430611,224.0,3036.049,0.8673,4,4,0.005499572,0.285,0,0,1,5.4595855,0,0,665,0.046380228,0.586313775,325,110043.2357,0.083462947
2000,26,乌海市,0.06750736,0.0,2.7522442,0.0,7.94,-761.1572127,39.72,38.36,0.8673,6,5,0.005869436,0.087,0,0,0,0.0,0,0,665,0.00854247,0.01,1,14991.66868,0.04355062
2001,26,乌海市,1.566642,177.4575,11.973392,0.0,7.78,-583.4712816,40.59,43.23172,0.8673,6,5,0.000937844,0.087,0,0,0,0.0,0,0,665,0.011119127,0.01,1,15214.35983,0.044208911
2002,26,乌海市,3.0657767,175.99515,26.699029,0.0,6.51,-584.3621337,41.2,50.66758,0.8673,6,5,0.005570125,0.087,0,0,0,0.094102631,0,0,665,0.013695784,0.01,2,17054.1099,0.045261975
2003,26,乌海市,1.9466346,378.34135,38.197115,0.00595829,7.32,-381.7382865,41.6,64.01341,0.8594,6,5,0.005741163,0.09,0,0,0,0.305093292,0,0,665,0.016272442,0.01,1,25830.24698,0.046749656
2004,26,乌海市,2.1730997,521.78546,51.006394,0.00414508,8.51,-237.9130144,42.23,84.30566,0.9033,6,5,0.00550171,0.103,0,0,0,5.4595855,0,0,665,0.018849099,0.01,3,32814.04983,0.068124365
2005,26,乌海市,5.9962886,645.55788,61.425423,0.00574713,8.82,-113.8098673,43.11,107.6921,0.9473,6,5,0.005952109,0.113,0,0,0,0.69314718,0,0,665,0.021425756,0.01,2,36884.54075,0.049640469
2006,26,乌海市,7.1926182,763.3218,89.204152,0.00873786,7.44,4.930315707,43.35,127.1843,0.9648,6,5,0.005872292,0.084,0,0,0,0.0,0,0,1,0.021386723,0.01,2,33604.41361,0.042028292
2007,26,乌海市,7.148847,779.87421,87.002096,0.00947867,7.72,21.38633406,47.7,150.6371,0.9403,6,5,0.006014823,0.082,0,0,0,0.0,0,0,3,0.020771638,0.01,4,36113.84254,0.041920056
2008,26,乌海市,7.2715973,1015.1233,99.93785,0.01477833,8.27,256.9519721,48.27,171.877,0.9326,6,5,0.001015914,0.089,0,0,0,0.0,0,0,5,0.025734482,0.01,2,37825.16005,0.043168109
2009,26,乌海市,14.502705,856.15897,112.31794,0.01387604,14.18,98.62877152,48.06,211.0993,0.9405,6,5,0.006163056,0.096,0,0,0,0.69314718,0,0,7,0.026979869,0.01,2,42667.81211,0.046282008
2010,26,乌海市,12.641509,1116.9811,175.4717,0.01365546,9.87,361.6428334,53.0,252.6014,0.9424,6,5,0.005427594,0.128,0,0,0,0.0,0,0,8,0.033949128,0.01,1,48943.45755,0.045271395
2011,26,乌海市,12.939002,1094.2699,188.22551,0.0139165,13.06,339.4354971,54.1,296.8066,0.9444,6,5,0.001006906,0.058,0,0,0,1.7917595,0,0,9,0.043751148,0.026291574,2,45293.25659,0.055067662
2012,26,乌海市,16.423358,1364.9635,205.07299,0.01553398,17.89,610.5918233,54.8,337.766,0.9447,6,5,0.005872292,0.043,0,0,0,2.3978953,1,0,10,0.051030736,0.04091653,1,48321.17481,0.059419869
2013,26,乌海市,36.166365,585.89512,190.45208,0.01442308,26.57,-168.3083853,55.3,373.9069,0.9459,6,5,0.001040937,0.05,0,0,0,2.1972246,1,0,11,0.041972454,0.053960717,2,38916.81931,0.056387579
2014,26,乌海市,19.855596,1275.0181,162.45487,0.01435172,64.58,519.1184015,55.4,406.8107,0.9457,6,5,0.00597837,0.113,0,0,0,2.3025851,1,0,13,0.046815036,0.071761751,8,55750.36006,0.058250721
2015,26,乌海市,29.220049,1408.9683,170.8249,0.01497157,49.98,653.353426,44.49,437.3215,0.9458,6,5,0.005690833,0.056,0,0,0,1.7917595,1,0,13,0.050309031,0.080999769,16,47445.66543,0.05727565
2016,26,乌海市,31.818182,1387.2045,184.09091,0.01525012,62.57,632.1286858,44.0,467.0157,0.9463,6,5,0.005308666,0.11,0,0,0,3.4339872,1,0,18,0.061416328,0.037167185,17,49388.36996,0.066545616
2017,26,乌海市,38.636364,1403.3409,193.18182,0.01693975,68.37,648.6472552,44.0,491.7675,0.9474,6,5,0.004728677,0.15,1,0,0,3.4965076,1,0,21,0.054169952,0.081803308,23,45986.57087,0.065284526
2018,26,乌海市,45.454545,1354.8864,190.90909,0.01976715,74.98,600.1913354,44.0,555.894,0.9498,6,5,0.004554162,0.092,1,0,0,3.6109179,1,0,32,0.049887724,0.071375465,50,48006.89796,0.06514355
2019,26,乌海市,50.0,1240.6136,179.54545,0.01900536,46.16,485.6045893,44.0,608.7039,0.952,6,5,0.000843679,0.088,1,0,0,4.2484952,1,0,41,0.047570233,0.059613999,33,46031.64591,0.06682626
2020,26,乌海市,49.677014,801.89773,97.159091,0.01824357,61.91,44.08327224,44.0,626.3563,0.9537,6,5,0.004576573,0.087,1,0,0,4.4773368,1,0,50,0.049174515,0.063899334,134,46828.7839,0.069976805
2021,26,乌海市,14.545455,363.18182,14.772727,0.01748179,50.85,-397.686778,44.0,658.3005,0.9588,6,5,0.000779752,0.087,1,0,0,4.9767337,1,0,90,0.068318484,0.079569389,130,51014.10734,0.077168471
2000,26,乌海市,0.22685159,0.0,0.0703471,0.0,7.94,-761.258008,39.72,38.36,0.9588,6,5,0.005869436,0.087,0,0,0,0.0,0,0,90,0.00854247,0.01,1,14991.66868,0.039375807
2001,26,乌海市,0.29959505,116.69344,4.3006131,0.0,7.78,-644.4905635,40.59,43.23172,0.9588,6,5,0.000937844,0.087,0,0,0,0.0,0,0,90,0.011119127,0.01,1,15214.35983,0.040034097
2002,26,乌海市,0.37233851,158.64731,8.6715733,0.0,6.51,-602.4014281,41.2,50.66758,0.9588,6,5,0.005570125,0.087,0,0,0,0.094102631,0,0,90,0.013695784,0.01,2,17054.1099,0.041087161
2003,26,乌海市,0.70760116,179.05433,13.1167,0.00692771,7.32,-581.8383287,41.6,64.01341,0.8594,6,5,0.005741163,0.09,0,0,0,0.305093292,0,0,90,0.016272442,0.01,1,25830.24698,0.042574843
2004,26,乌海市,1.0820508,302.8588,14.316392,0.00785597,8.51,-458.0782047,42.23,84.30566,0.9033,6,5,0.00550171,0.103,0,0,0,5.4595855,0,0,90,0.018849099,0.01,3,32814.04983,0.063949552
2005,26,乌海市,1.4558275,159.51943,16.782888,0.00805369,8.82,-601.213924,43.11,107.6921,0.9473,6,5,0.005952109,0.113,0,0,0,0.69314718,0,0,90,0.021425756,0.01,2,36884.54075,0.045465656
2006,26,乌海市,1.1250305,183.581,23.544568,0.00767434,7.44,-576.9157196,43.35,127.1843,0.9648,6,5,0.005872292,0.084,0,0,0,0.0,0,0,1,0.021386723,0.01,2,33604.41361,0.042028292
2007,26,乌海市,1.5520684,393.42492,28.065022,0.00953895,7.72,-367.053921,47.7,150.6371,0.9403,6,5,0.006014823,0.082,0,0,0,0.0,0,0,3,0.020771638,0.01,4,36113.84254,0.041920056
2008,26,乌海市,2.3374006,461.1273,42.169598,0.01039636,8.27,-298.8604912,48.27,171.877,0.9326,6,5,0.001015914,0.089,0,0,0,0.0,0,0,5,0.025734482,0.01,2,37825.16005,0.043168109
2009,26,乌海市,2.7330735,289.8517,48.892615,0.01064184,14.18,-469.7496024,48.06,211.0993,0.9405,6,5,0.006163056,0.096,0,0,0,0.69314718,0,0,7,0.026979869,0.01,2,42667.81211,0.046282008
2010,26,乌海市,4.1420894,1331.5791,203.41023,0.01114754,9.87,577.0814555,53.0,252.6014,0.9424,6,5,0.005427594,0.128,0,0,0,0.0,0,0,8,0.033949128,0.01,1,48943.45755,0.045271395
2011,26,乌海市,5.0010872,477.27767,213.87258,0.01168452,13.06,-276.1770727,54.1,296.8066,0.9444,6,5,0.001006906,0.058,0,0,0,1.7917595,0,0,9,0.043751148,0.026291574,2,45293.25659,0.055067662
2012,26,乌海市,6.2879445,539.51431,73.378144,0.01152648,17.89,-219.3177215,54.8,337.766,0.9447,6,5,0.005872292,0.043,0,0,0,2.3978953,1,0,10,0.051030736,0.04091653,1,48321.17481,0.059419869
2013,26,乌海市,7.7536076,577.35731,85.358604,0.01726027,26.57,-181.0372064,55.3,373.9069,0.9459,6,5,0.001040937,0.05,0,0,0,2.1972246,1,0,11,0.041972454,0.053960717,2,38916.81931,0.056387579
2014,26,乌海市,8.3726921,673.05496,72.992701,0.01679108,64.58,-85.87672974,55.4,406.8107,0.9457,6,5,0.00597837,0.113,0,0,0,2.3025851,1,0,13,0.046815036,0.071761751,8,55750.36006,0.058250721
2015,26,乌海市,11.023928,568.56451,93.595314,0.01714701,49.98,-189.4870018,44.49,437.3215,0.9458,6,5,0.005690833,0.056,0,0,0,1.7917595,1,0,13,0.050309031,0.080999769,16,47445.66543,0.05727565
2016,26,乌海市,13.174946,600.30022,97.192225,0.01682923,62.57,-157.6229538,44.0,467.0157,0.9463,6,5,0.005308666,0.11,0,0,0,3.4339872,1,0,18,0.061416328,0.037167185,17,49388.36996,0.066545616
2017,26,乌海市,14.130435,1154.5652,91.956522,0.01763928,68.37,396.035203,44.0,491.7675,0.9474,6,5,0.004728677,0.15,1,0,0,3.4965076,1,0,21,0.054169952,0.081803308,23,45986.57087,0.065284526
2018,26,乌海市,17.647059,596.82789,95.642702,0.01775921,74.98,-161.1196291,44.0,555.894,0.9498,6,5,0.004554162,0.092,1,0,0,3.6109179,1,0,32,0.049887724,0.071375465,50,48006.89796,0.06514355
2019,26,乌海市,19.782609,611.23696,98.695652,0.01332235,46.16,-146.5900442,44.0,608.7039,0.952,6,5,0.000843679,0.088,1,0,0,4.2484952,1,0,41,0.047570233,0.059613999,33,46031.64591,0.06682626
2020,26,乌海市,24.043832,330.66253,67.444742,0.00888548,61.91,-428.1119161,44.0,626.3563,0.9537,6,5,0.004576573,0.087,1,0,0,4.4773368,1,0,50,0.049174515,0.063899334,134,46828.7839,0.069976805
2021,26,乌海市,31.722467,50.088106,36.193833,0.00444862,50.85,-709.609366,44.0,658.3005,0.9588,6,5,0.000779752,0.087,1,0,0,4.9767337,1,0,90,0.068318484,0.079569389,130,51014.10734,0.077168471
2000,27,赤峰市,0.11138391,0.0,6.3293462,0.0,8.21,-761.0209405,451.8,160.27,0.9588,5,5,0.001987092,0.149,0,0,0,1.976272922,0,0,90,0.004441739,0.079569389,7,30561.39504,0.046695164
2001,27,赤峰市,0.25474725,134.84481,6.9604505,0.0,9.64,-626.2519978,442.03,174.8546,0.9588,5,5,0.001961195,0.149,0,0,0,2.052108842,0,0,90,0.005729927,0.079569389,0,30039.7986,0.047208206
2002,27,赤峰市,0.6208784,114.64551,7.5915548,0.0,10.33,-646.4095836,444.3,193.9137,0.9588,5,5,0.000348252,0.149,0,0,0,2.127944761,0,0,90,0.007018115,0.079569389,5,34091.27353,0.047927569
2003,27,赤峰市,0.2613967,162.51859,16.73398,0.01103266,12.04,-598.2274003,447.3,222.419,0.1641,5,5,0.000368803,0.106,0,0,0,2.203780681,0,0,3,0.008306304,0.079569389,3,40267.67342,0.04789491
2004,27,赤峰市,1.0710495,191.36728,18.936219,0.01022222,7.07,-569.3108048,447.04,247.7748,0.1682,5,5,0.000339365,0.151,0,0,0,4.9767337,0,0,4,0.009594492,0.079569389,10,49483.09351,0.059477909
2005,27,赤峰市,1.5549234,218.7399,21.012478,0.01070473,7.55,-541.8762908,445.3,286.1799,0.2281,5,5,0.000331034,0.15,0,0,0,4.9767337,0,0,4,0.01088268,0.079569389,6,64424.47869,0.059738245
2006,27,赤峰市,1.5679498,236.47243,20.799334,0.01205895,8.4,-524.1650348,450.21,337.4061,0.2324,5,5,0.000330579,0.166,0,0,0,4.9767337,0,0,5,0.007038195,0.079569389,9,68112.45488,0.058814888
2007,27,赤峰市,3.0154016,287.16003,25.300443,0.01471244,12.2,-473.3339347,452.77,401.5132,0.2422,5,5,0.000346904,0.169,0,0,0,0.69314718,0,0,5,0.009645556,0.079569389,28,87030.77635,0.042620113
2008,27,赤峰市,2.8957781,280.82797,52.915562,0.01565217,10.74,-478.6125148,456.49,471.7781,0.2464,5,5,0.000339514,0.18,0,0,0,0.0,0,0,7,0.011736223,0.079569389,9,91440.10484,0.040060884
2009,27,赤峰市,3.1361726,362.22794,50.492379,0.00276592,9.65,-397.3638238,459.19,541.1295,0.2507,5,5,0.000334033,0.128,0,0,0,0.69314718,0,0,8,0.011289953,0.079569389,20,120825.3267,0.042924462
2010,27,赤峰市,4.7348604,1344.5246,64.647003,0.01437962,8.18,584.7473828,457.74,618.511,0.2392,5,5,0.00033881,0.069,0,0,0,1.9459101,0,0,11,0.030893364,0.079569389,12,125680.9865,0.052843643
2011,27,赤峰市,5.529522,1663.5426,90.440487,0.01375405,15.85,904.5127607,459.9,711.2877,0.2411,5,5,0.000339845,0.657,0,0,0,1.6094379,0,0,13,0.027370559,0.079569389,27,136615.3698,0.05086598
2012,27,赤峰市,7.5046904,1597.8737,93.527205,0.01365462,20.56,839.0244202,461.2,800.9099,0.2441,5,5,0.000354074,0.043,0,0,0,2.1972246,0,0,21,0.017971887,0.079569389,26,169448.9954,0.050864129
2013,27,赤峰市,8.0946451,1210.934,118.57098,0.01875,31.98,453.3302741,464.3,868.9872,0.2453,5,5,0.000402608,0.056,0,0,0,1.7917595,0,0,26,0.021993989,0.079569389,29,144228.5534,0.050352688
2014,27,赤峰市,14.088917,593.61302,151.22104,0.01714064,67.34,-162.2450898,465.8,933.2923,0.2456,5,5,0.00039615,0.142,0,0,0,1.9459101,0,0,36,0.022158865,0.079569389,21,86801.29969,0.050948387
2015,27,赤峰市,11.585309,660.90115,112.72192,0.01748046,60.29,-96.48846339,462.63,1006.089,0.2976,5,5,0.000377108,0.075,0,0,0,2.3025851,0,0,53,0.023574135,0.079569389,37,88078.83558,0.053139621
2016,27,赤峰市,11.912226,641.35737,107.52351,0.01695066,45.05,-116.2128684,463.0,1077.521,0.3082,5,5,0.000369465,0.125,0,0,0,3.0910425,0,0,75,0.026874783,0.079569389,52,84978.30806,0.057564141
2017,27,赤峰市,14.873418,698.4462,118.03797,0.01912461,70.71,-58.74595618,460.0,1115.235,0.3086,5,5,0.000348824,0.083,0,0,0,3.3322045,0,0,99,0.030591363,0.079569389,42,96083.77341,0.059483625
2018,27,赤峰市,19.620253,667.69304,121.51899,0.01658498,54.4,-89.30988839,459.0,1181.033,0.3089,5,5,0.000329767,0.066,0,0,0,4.1896547,0,0,125,0.024997501,0.079569389,88,112083.8176,0.062474622
2019,27,赤峰市,20.504732,627.78549,113.24921,0.01686579,73.85,-129.4955824,460.0,1241.266,0.3098,5,5,0.000345424,0.123,0,0,0,4.2904594,0,0,154,0.023919515,0.079569389,85,126807.2861,0.062762663
2020,27,赤峰市,24.855483,332.94036,57.176987,0.0171466,82.15,-426.2202489,457.0,1258.644,0.531,5,5,0.012871319,0.149,0,0,0,4.7791235,0,0,189,0.025869245,0.079569389,152,155031.4581,0.066627594
2021,27,赤峰市,1.047619,38.095238,1.1047619,0.0174274,61.41,-723.1460893,454.0,1330.386,0.537,5,5,0.013293277,0.149,0,0,0,4.8441871,0,0,373,0.033391335,0.079569389,166,170990.2109,0.070387067
2000,28,乌兰察布市,1.3207192,0.0,17.968289,0.0,9.33,-760.5699265,172.0,91.69,0.606,6,5,0.000248921,0.069,0,0,0,0.103556025,0,0,169,0.004530467,0.01,70,14278.93264,0.040526253
2001,28,乌兰察布市,7.6667972,908.45446,24.662721,0.0,6.35,147.5046929,172.0,100.1255,0.606,6,5,0.000248921,0.069,0,0,0,0.301359703,0,0,169,0.005613434,0.01,70,14400.23775,0.041596605
2002,28,乌兰察布市,14.012875,1067.2807,31.357153,0.0,8.55,306.5118961,172.0,116.4459,0.606,6,5,0.000248921,0.069,0,0,0,0.499163382,0,0,1,0.0066964,0.01,70,16664.34569,0.041447185
2003,28,乌兰察布市,15.625642,1361.2378,39.878827,0.01089109,10.76,600.584499,270.6,150.5762,0.2264,6,5,0.000248921,0.069,0,0,0,0.69696706,0,0,1,0.007779367,0.01,1,24449.92048,0.04133119
2004,28,乌兰察布市,10.378976,1098.2504,43.914653,0.01252505,11.15,337.9097511,271.62,178.8846,0.2345,6,5,0.000248921,0.069,0,0,0,5.5254529,0,0,1,0.008862334,0.01,2,31107.79793,0.060999016
2005,28,乌兰察布市,10.833431,1318.7798,49.81674,0.01377658,9.18,558.5017448,272.52,215.5201,0.3055,6,5,0.000248921,0.069,0,0,0,5.5254529,0,0,2,0.009945301,0.01,1,39138.72125,0.061265762
2006,28,乌兰察布市,11.862002,0.0,58.509836,0.01167781,12.8,-758.9537072,278.16,251.512,0.3473,6,5,0.000248921,0.069,0,0,0,0.0,0,0,2,0.008194494,0.01,2,40580.17606,0.038665171
2007,28,乌兰察布市,14.159516,1218.6088,61.160658,0.01236784,12.4,458.8606077,284.26,285.9691,0.3271,6,5,0.000248921,0.069,0,0,0,0.0,0,0,2,0.011676637,0.01,1,45765.21622,0.039537604
2008,28,乌兰察布市,15.094393,1273.5631,71.84202,0.01063015,7.22,514.1864532,287.11,324.8609,0.3369,6,5,0.000248921,0.069,0,0,0,0.0,0,0,2,0.012464525,0.01,1,46404.60606,0.039738895
2009,28,乌兰察布市,17.90524,1318.2192,104.25651,0.01235507,7.38,560.0612402,289.72,368.7171,0.3715,6,5,0.000248921,0.069,0,0,0,0.0,0,0,2,0.013321767,0.045105999,2,53730.66226,0.040143746
2010,28,乌兰察布市,18.885492,1376.9872,118.8577,0.01376562,13.49,619.347242,287.02,409.276,0.3983,6,5,0.000248921,0.069,0,0,0,0.0,0,0,4,0.014747651,0.012986451,2,76990.72277,0.040368254
2011,28,乌兰察布市,20.832462,1490.2325,121.97316,0.01639073,9.1,732.6401451,288.8,462.7684,0.4288,6,5,0.000248921,0.069,0,0,0,0.0,0,0,7,0.017438285,0.077196233,4,89983.82526,0.041420292
2012,28,乌兰察布市,24.282561,1611.3397,137.34823,0.0157377,24.06,854.26577,287.0,509.0453,0.4358,6,5,0.000248921,0.069,0,0,0,0.69314718,0,0,10,0.0178059,0.026439871,3,117603.1843,0.044056173
2013,28,乌兰察布市,20.767432,1578.5669,139.71531,0.01727749,23.65,821.5823416,283.3,555.1139,0.4432,6,5,0.000248921,0.069,0,0,0,1.9459101,0,0,12,0.021560266,0.027492669,6,106511.903,0.050113127
2014,28,乌兰察布市,22.030651,1457.7723,142.85714,0.01671481,59.34,701.0065493,277.0,598.4128,0.4526,6,5,0.000248921,0.069,0,0,0,2.0794415,0,0,16,0.018085557,0.070640177,3,82588.62156,0.049945926
2015,28,乌兰察布市,24.369874,1377.9329,184.69079,0.0173705,43.13,622.8336072,273.87,646.2858,0.4658,6,5,0.000248921,0.069,0,0,0,2.1972246,0,0,18,0.027108083,0.076654785,10,76995.91502,0.052887387
2016,28,乌兰察布市,28.337875,1452.6649,167.02997,0.0170689,55.08,696.8667954,274.0,689.9101,0.4785,6,5,0.000248921,0.069,0,0,0,4.3174881,0,0,25,0.030858875,0.053600827,11,64157.65613,0.062310321
2017,28,乌兰察布市,27.272727,1506.2198,168.7924,0.018948,69.46,750.441007,272.0,726.4753,0.4901,6,5,0.000248921,0.069,0,0,0,4.0775374,0,0,34,0.019872053,0.163435109,30,69499.18839,0.059460255
2018,28,乌兰察布市,31.903485,1327.4196,176.6756,0.02021836,41.27,572.1072793,271.0,766.2136,0.4974,6,5,0.000248921,0.069,0,0,0,4.5432948,0,0,59,0.022648805,0.137721079,43,69917.56069,0.062319984
2019,28,乌兰察布市,33.068783,1314.5079,168.38624,0.02135382,56.89,558.8985016,269.0,813.7188,0.5077,6,5,0.000248921,0.069,0,0,0,4.9558271,0,0,79,0.019307665,0.17921147,111,81387.3463,0.06463532
2020,28,乌兰察布市,30.124283,816.95985,122.23561,0.02248927,71.35,59.94753807,266.5,833.248,0.5969,6,5,0.000248921,0.069,0,0,0,4.9836066,0,0,103,0.022629187,0.136113345,144,94595.38302,0.06612997
2021,28,乌兰察布市,30.469281,319.41176,76.084967,0.02362473,69.35,-438.9799638,264.0,879.9099,0.6081,6,5,0.000248921,0.069,0,0,0,5.5254529,0,0,173,0.028688546,0.094555437,128,92996.22402,0.06988565
2000,29,沈阳市,3.9259255,0.0,19.466999,0.0,51.7,-760.4943503,685.1,1046.82,0.7032,3,1,0.009846687,0.081,0,0,0,0.0,0,0,43,0.014580511,0.123818717,103,122321.2422,0.042877684
2001,29,沈阳市,8.2201186,798.68015,24.867925,0.0,48.23,37.82425875,689.34,1149.408,0.7032,3,1,0.009303544,0.081,0,0,0,0.115296654,0,0,50,0.016571779,0.387942248,106,111951.2185,0.045220275
2002,29,沈阳市,12.514312,967.14462,30.268851,0.0,48.89,206.398658,688.92,1272.395,0.7032,3,1,0.008508475,0.081,0,0,0,0.412609259,0,0,63,0.018563048,0.248715932,115,115498.0735,0.046502248
2003,29,沈阳市,15.152331,779.64153,35.101239,0.0103211,50.17,19.23835809,689.1,1413.631,0.6394,3,1,0.007781202,0.082,0,0,0,0.709921864,0,0,80,0.020554317,0.353680649,116,129597.6719,0.048848794
2004,29,沈阳市,20.217753,1293.6396,42.26834,0.01305658,54.59,533.1604994,693.87,1571.958,0.6432,3,1,0.007688752,0.069,0,0,0,1.3862944,0,0,102,0.022545585,0.406804031,136,149674.4195,0.052830227
2005,29,沈阳市,16.506801,1659.7757,53.045442,0.01407514,66.83,899.4057933,698.57,1771.596,0.6447,3,1,0.007717257,0.118,0,0,0,2.1972246,0,0,115,0.024536854,0.470761859,136,192101.2622,0.056994397
2006,29,沈阳市,13.086124,1071.282,58.076196,0.01408909,63.72,311.5191208,703.56,2021.391,0.6461,3,1,0.007718798,0.171,0,0,0,1.3862944,0,0,132,0.019770387,0.444202131,145,191939.8362,0.052673428
2007,29,沈阳市,15.58754,1200.0605,71.350248,0.01806764,64.94,440.7236732,709.77,2350.878,0.6421,3,1,0.007724191,0.226,0,0,0,1.7917595,0,0,162,0.025186157,0.473017714,178,224058.6912,0.05660759
2008,29,沈阳市,17.498552,1343.8144,87.453931,0.02368172,76.81,584.9957529,713.51,2644.738,0.695,3,1,0.008044684,0.225,0,0,0,2.1972246,0,0,202,0.026425405,0.414834865,212,228557.4088,0.059146588
2009,29,沈阳市,21.066279,1388.3806,107.73085,0.02309248,64.23,630.3247891,716.55,2933.014,0.7148,3,1,0.008106317,0.207,0,0,0,1.7917595,0,0,252,0.030414009,2.359918852,221,285122.6315,0.068400541
2010,29,沈阳市,19.754365,1438.7951,115.0382,0.02569002,75.44,680.9699388,719.6,3235.115,0.6358,3,1,0.008506934,0.243,0,0,0,2.4849066,0,0,310,0.032528723,3.109000609,313,273090.4023,0.077323468
